id,cadena,estado,genero,edad,escolaridad,anios_actividad,superficie_ha,impacto_economico,inai_general
1,CACAO,TABASCO,MASCULINO,75,6,42,6.5,BAJO (0-33),18.75
2,CACAO,TABASCO,FEMENINO,73,3,12,1.5,MEDIO (33-66),33.33
3,CACAO,TABASCO,FEMENINO,74,2,50,1,MEDIO (33-66),8.33
4,CACAO,TABASCO,MASCULINO,57,3,35,4,MEDIO (33-66),6.25
5,CACAO,TABASCO,MASCULINO,72,4,45,2,BAJO (0-33),14.58
6,CACAO,TABASCO,MASCULINO,25,3,10,1,MEDIO (33-66),12.5
7,CACAO,TABASCO,MASCULINO,56,5,25,2,MEDIO (33-66),39.58
8,CACAO,TABASCO,MASCULINO,48,4,15,4.5,MEDIO (33-66),50
9,CACAO,TABASCO,MASCULINO,38,2,17,2,MEDIO (33-66),37.5
10,CACAO,TABASCO,MASCULINO,84,6,59,2.5,BAJO (0-33),25
11,CACAO,TABASCO,MASCULINO,72,2,30,3,BAJO (0-33),0
12,CACAO,TABASCO,MASCULINO,63,6,40,1.5,MEDIO (33-66),18.75
13,CACAO,TABASCO,MASCULINO,81,6,40,2,ALTO (66-100),16.67
14,CACAO,TABASCO,FEMENINO,59,6,30,1,MEDIO (33-66),2.08
15,CACAO,TABASCO,MASCULINO,50,0,20,1,MEDIO (33-66),4.17
16,CACAO,TABASCO,MASCULINO,52,0,19,8,BAJO (0-33),2.08
17,CACAO,TABASCO,MASCULINO,66,6,20,2.5,MEDIO (33-66),4.17
18,CACAO,TABASCO,FEMENINO,49,6,13,1,BAJO (0-33),4.17
19,CACAO,TABASCO,FEMENINO,48,6,20,5,MEDIO (33-66),29.17
20,CACAO,TABASCO,MASCULINO,73,5,50,3.5,MEDIO (33-66),6.25
21,CACAO,TABASCO,MASCULINO,48,12,15,3,BAJO (0-33),12.5
22,CACAO,TABASCO,FEMENINO,79,0,10,2,BAJO (0-33),10.42
23,CACAO,TABASCO,FEMENINO,39,6,7,1.5,MEDIO (33-66),4.17
24,CACAO,TABASCO,MASCULINO,45,6,30,3,BAJO (0-33),4.17
25,CACAO,TABASCO,FEMENINO,57,6,30,1,BAJO (0-33),2.08
26,CACAO,TABASCO,FEMENINO,80,0,30,4,BAJO (0-33),14.58
27,CACAO,TABASCO,MASCULINO,41,12,23,3,BAJO (0-33),22.92
28,CACAO,TABASCO,FEMENINO,55,6,20,6,BAJO (0-33),25
29,CACAO,TABASCO,FEMENINO,46,9,20,1,MEDIO (33-66),18.75
30,CACAO,TABASCO,MASCULINO,28,6,2,3,BAJO (0-33),2.08
31,CACAO,TABASCO,MASCULINO,61,3,25,1.5,MEDIO (33-66),31.25
32,CACAO,TABASCO,MASCULINO,45,12,15,2,MEDIO (33-66),35.42
33,CACAO,TABASCO,FEMENINO,65,0,35,4,ALTO (66-100),0
34,CACAO,TABASCO,MASCULINO,74,6,30,1,BAJO (0-33),4.17
35,CACAO,TABASCO,FEMENINO,65,1,20,2,BAJO (0-33),2.08
36,CACAO,TABASCO,MASCULINO,54,9,36,2,BAJO (0-33),20.83
37,CACAO,TABASCO,MASCULINO,73,1,25,1,BAJO (0-33),6.25
38,CACAO,TABASCO,MASCULINO,74,5,30,1,BAJO (0-33),10.42
39,CACAO,TABASCO,MASCULINO,57,0,25,1,MEDIO (33-66),0
40,CACAO,TABASCO,MASCULINO,42,4,20,1,MEDIO (33-66),35.42
41,CACAO,TABASCO,FEMENINO,58,0,8,1,MEDIO (33-66),66.67
42,CACAO,TABASCO,MASCULINO,64,1,49,1,MEDIO (33-66),33.33
43,CACAO,TABASCO,FEMENINO,70,2,15,1.5,BAJO (0-33),18.75
44,CACAO,TABASCO,MASCULINO,56,5,25,2,MEDIO (33-66),50
45,CACAO,CHIAPAS,MASCULINO,41,2,26,2,MEDIO (33-66),20.63
46,CACAO,CHIAPAS,MASCULINO,52,4,15,1,BAJO (0-33),41.25
47,CACAO,CHIAPAS,MASCULINO,54,3,30,2,BAJO (0-33),56.25
48,CACAO,CHIAPAS,MASCULINO,63,0,30,3,ALTO (66-100),17.5
49,CACAO,CHIAPAS,MASCULINO,39,6,12,0.5,BAJO (0-33),28.75
50,CACAO,CHIAPAS,MASCULINO,58,9,10,1,ALTO (66-100),14.38
51,CACAO,CHIAPAS,MASCULINO,52,0,23,3,BAJO (0-33),16.25
52,CACAO,CHIAPAS,MASCULINO,48,2,20,1,BAJO (0-33),23.13
53,CACAO,CHIAPAS,MASCULINO,64,4,20,3,BAJO (0-33),21.25
54,CACAO,CHIAPAS,MASCULINO,67,4,45,4,BAJO (0-33),13.75
55,CACAO,CHIAPAS,MASCULINO,69,3,50,2.5,BAJO (0-33),17.5
56,CACAO,CHIAPAS,MASCULINO,47,2,10,4.5,BAJO (0-33),11.25
57,CACAO,CHIAPAS,MASCULINO,53,2,30,2,ALTO (66-100),22.5
58,CACAO,CHIAPAS,MASCULINO,68,2,15,5,ALTO (66-100),21.25
59,CACAO,CHIAPAS,MASCULINO,28,6,5,2,BAJO (0-33),24.38
60,CACAO,CHIAPAS,FEMENINO,50,6,10,1,ALTO (66-100),31.25
61,CACAO,CHIAPAS,MASCULINO,56,6,5,2,BAJO (0-33),24.38
62,CACAO,CHIAPAS,MASCULINO,42,4,9,2,BAJO (0-33),23.13
63,CACAO,CHIAPAS,MASCULINO,53,2,15,3,BAJO (0-33),15
64,CACAO,CHIAPAS,MASCULINO,91,0,70,4,MEDIO (33-66),21.25
65,CACAO,CHIAPAS,MASCULINO,39,4,10,12,MEDIO (33-66),33.75
66,CACAO,CHIAPAS,MASCULINO,77,4,25,2,BAJO (0-33),14.38
67,CACAO,CHIAPAS,MASCULINO,59,1,25,2,ALTO (66-100),53.13
68,CACAO,CHIAPAS,MASCULINO,56,3,38,6.5,MEDIO (33-66),23.13
69,CACAO,CHIAPAS,MASCULINO,60,0,40,2,BAJO (0-33),15.63
70,CACAO,CHIAPAS,MASCULINO,63,6,30,2.5,ALTO (66-100),10.63
71,CACAO,CHIAPAS,MASCULINO,51,9,33,4,MEDIO (33-66),21.25
72,CACAO,CHIAPAS,MASCULINO,65,0,45,1.5,ALTO (66-100),18.75
73,CACAO,CHIAPAS,MASCULINO,35,6,6,3.5,MEDIO (33-66),5
74,CACAO,CHIAPAS,MASCULINO,72,1,40,6,MEDIO (33-66),15.63
75,CACAO,CHIAPAS,MASCULINO,69,0,35,5.5,BAJO (0-33),34.38
76,CACAO,CHIAPAS,MASCULINO,70,0,25,4,ALTO (66-100),26.25
77,CACAO,CHIAPAS,MASCULINO,48,4,16,2.5,BAJO (0-33),24.38
78,CACAO,CHIAPAS,MASCULINO,57,0,15,4,BAJO (0-33),32.5
79,CACAO,CHIAPAS,MASCULINO,67,1,3,1.5,BAJO (0-33),3.75
80,CACAO,CHIAPAS,FEMENINO,69,0,5,1,BAJO (0-33),21.88
81,CACAO,CHIAPAS,MASCULINO,56,6,3,1,BAJO (0-33),5
82,CACAO,CHIAPAS,MASCULINO,45,6,30,3,MEDIO (33-66),20
83,CACAO,CHIAPAS,FEMENINO,48,9,12,2,BAJO (0-33),8.75
84,CACAO,CHIAPAS,MASCULINO,53,0,35,3,BAJO (0-33),16.88
85,CACAO,CHIAPAS,MASCULINO,45,9,10,3,ALTO (66-100),22.5
86,CACAO,CHIAPAS,MASCULINO,55,0,20,4,BAJO (0-33),21.25
87,CACAO,CHIAPAS,MASCULINO,69,0,30,1,BAJO (0-33),16.25
88,CACAO,CHIAPAS,MASCULINO,74,0,30,4,BAJO (0-33),18.75
89,CACAO,CHIAPAS,MASCULINO,56,2,25,4,BAJO (0-33),11.25
90,CACAO,CHIAPAS,MASCULINO,73,1,30,2,BAJO (0-33),3.75
91,CACAO,CHIAPAS,MASCULINO,59,5,10,2,BAJO (0-33),33.75
92,CACAO,CHIAPAS,MASCULINO,53,9,18,13,ALTO (66-100),55
93,CACAO,CHIAPAS,MASCULINO,51,9,31,2.5,BAJO (0-33),47.5
94,CACAO,CHIAPAS,MASCULINO,54,3,10,2,BAJO (0-33),11.25
95,CACAO,CHIAPAS,MASCULINO,35,6,20,5.5,BAJO (0-33),10
96,CACAO,CHIAPAS,MASCULINO,44,9,8,1,BAJO (0-33),23.13
97,CACAO,CHIAPAS,FEMENINO,44,6,21,3,BAJO (0-33),15.63
98,CACAO,CHIAPAS,MASCULINO,64,0,25,2,MEDIO (33-66),33.75
99,CACAO,CHIAPAS,MASCULINO,55,0,30,1,BAJO (0-33),17.5
100,CACAO,CHIAPAS,MASCULINO,86,6,40,8,BAJO (0-33),13.13
101,CACAO,CHIAPAS,MASCULINO,67,0,20,10,BAJO (0-33),33.75
102,CACAO,CHIAPAS,FEMENINO,74,0,45,1,BAJO (0-33),6.25
103,CACAO,CHIAPAS,MASCULINO,69,0,40,4.5,BAJO (0-33),13.13
104,CACAO,CHIAPAS,MASCULINO,42,9,10,4,MEDIO (33-66),38.13
105,CACAO,CHIAPAS,FEMENINO,29,6,9,2,BAJO (0-33),14.38
106,CACAO,CHIAPAS,MASCULINO,70,0,30,1.5,BAJO (0-33),15
107,CACAO,CHIAPAS,MASCULINO,78,6,30,3,BAJO (0-33),19.38
108,CACAO,CHIAPAS,MASCULINO,49,6,10,4,BAJO (0-33),10
109,CACAO,CHIAPAS,MASCULINO,84,0,50,1.5,BAJO (0-33),5
110,CACAO,CHIAPAS,MASCULINO,64,0,40,2,BAJO (0-33),8.75
111,CACAO,CHIAPAS,MASCULINO,67,0,40,4,BAJO (0-33),18.75
112,CACAO,CHIAPAS,FEMENINO,56,0,12,4.5,BAJO (0-33),16.25
113,CACAO,CHIAPAS,FEMENINO,35,12,5,2,BAJO (0-33),20.63
114,CACAO,CHIAPAS,FEMENINO,27,9,3,2,BAJO (0-33),17.5
115,CACAO,CHIAPAS,MASCULINO,78,0,50,2,BAJO (0-33),14.38
116,CACAO,CHIAPAS,MASCULINO,58,2,20,1,BAJO (0-33),25
117,CACAO,CHIAPAS,MASCULINO,53,1,30,3,BAJO (0-33),49.38
118,CACAO,CHIAPAS,MASCULINO,60,2,25,4,BAJO (0-33),43.13
119,CACAO,CHIAPAS,MASCULINO,35,9,20,9,MEDIO (33-66),51.25
120,CACAO,CHIAPAS,MASCULINO,36,4,18,3,MEDIO (33-66),23.13
121,CACAO,CHIAPAS,MASCULINO,42,3,20,2,BAJO (0-33),11.25
122,CACAO,CHIAPAS,MASCULINO,53,4,30,7,BAJO (0-33),16.25
123,CACAO,CHIAPAS,MASCULINO,61,0,16,2.5,BAJO (0-33),32.5
124,CACAO,CHIAPAS,MASCULINO,76,1,61,2,BAJO (0-33),36.25
125,CACAO,CHIAPAS,MASCULINO,50,2,29,2,BAJO (0-33),28.13
126,CACAO,CHIAPAS,MASCULINO,41,0,8,2,BAJO (0-33),30
127,CACAO,CHIAPAS,MASCULINO,43,0,9,2,BAJO (0-33),18.75
128,CACAO,CHIAPAS,MASCULINO,64,6,44,10,MEDIO (33-66),14.38
129,CACAO,CHIAPAS,FEMENINO,72,0,50,3,MEDIO (33-66),17.5
130,CACAO,CHIAPAS,MASCULINO,53,9,20,4,BAJO (0-33),8.75
131,CACAO,CHIAPAS,MASCULINO,83,0,40,4,BAJO (0-33),8.75
132,CACAO,CHIAPAS,MASCULINO,74,0,50,3,BAJO (0-33),11.25
133,CACAO,CHIAPAS,MASCULINO,77,3,20,1,ALTO (66-100),25
134,CACAO,CHIAPAS,FEMENINO,32,6,2,2,MEDIO (33-66),8.75
135,CACAO,CHIAPAS,MASCULINO,60,2,30,3,BAJO (0-33),17.5
136,CACAO,CHIAPAS,MASCULINO,37,9,12,3.5,MEDIO (33-66),13.13
137,CACAO,CHIAPAS,MASCULINO,57,3,20,2,BAJO (0-33),17.5
138,CACAO,CHIAPAS,FEMENINO,57,6,25,4,BAJO (0-33),17.5
139,CACAO,CHIAPAS,MASCULINO,47,0,30,2.5,BAJO (0-33),33.75
140,CACAO,CHIAPAS,MASCULINO,68,6,40,6,BAJO (0-33),10
141,CACAO,CHIAPAS,MASCULINO,69,6,50,4,ALTO (66-100),14.38
